ID	LABEL	OLD_VALUES	OLD_FIELDS	Parents	subset	cob_parent	obo_exact_match	xref_ontology	xref_literature_doi	nico_comment	definition	applicable_to	additional_information	abbreviation	has_exact_synonym	has_related_synonym	has_narrow_synonym	has_broad_synonym	xref_synonym	github_issue_link	contributors	contributor_orcid	Decision_OT_Team	Ontology_OT_remarks	Ontology_person	Decision_OT_Team	New_definition_file_link
TOSO:0000017	Gonochorism			Sexual system	Reproductive quality	characteristic			10.1038/sdata.2014.15		A sexual system in which anisogamous (different) gametes are produced in separate individuals.	population;species;taxon-specific	Typically refers to animals; Restricted to anisogamous species; Alternative definition as a sexual system of animals in which all individuals in a population are either female or male. Alternative definition 2 as Sexual system in which individuals produce a single gamete type (sperm or eggs). See discussion at https://github.com/Tree-of-Sex/ToS-Ontology/issues/25			dioecy				https://github.com/Tree-of-Sex/ToS-Ontology/issues/41;https://github.com/Tree-of-Sex/ToS-Ontology/issues/25	Caitlin McDonough-Goldstein;Kamil Jaron;Nicole Valenzuela	https://orcid.org/0000-0001-8949-7479;https://orcid.org/0000-0003-1470-5450;https://orcid.org/0000-0003-1148-631X	ToS_new_definition, needs-conflict-solving	Definition versus additional info need to be decided. Could we just remove the anisogamous part and just say "different gametes"? are we basing the definition in diferent sexes, diferent gametes or diferent gamete sizes or none?			
TOSO:0000018	Gynodioecy	gynodioecy	Sexual system_value	Sexual system	Reproductive quality	characteristic		GSSO:011873	10.1038/sdata.2014.15		A sexual system in which females and hermaphroditic plants coexist in the same population.	population;species	Additional context: used mostly in plants, but occurs in animals too, specifically fish, corals and sponges.							https://github.com/Tree-of-Sex/ToS-Ontology/issues/37;https://github.com/Tree-of-Sex/ToS-Ontology/issues/41; https://github.com/Tree-of-Sex/ToS-Ontology/issues/12	Radim Čegan;Kamil Jaron;Nicole Valenzuela;Jennifer Gresham;	https://orcid.org/0000-0002-6789-6564;https://orcid.org/0000-0003-1470-5450;https://orcid.org/0000-0003-1148-631X;https://orcid.org/0000-0002-6085-3908	existing-ontology-definition, ToS_new_definition, needs-conflict-solving	add Hermaphroditism as parent when multuple values are allowed. Option 1: Textual definition A sexual system in which females and hermaphrodites coexist within a population.  Option 2:  Textual definition A sexual system in which females and hermaphrodites coexist.  Note: At ToS meeting, we had extensive discussion of whether this should be specific to level of species or population or applicable to both. I think we landed on population (option 1), but I could see the argument for more general use (option 2).			
TOSO:0000019	Androdioecy	androdioecy	Sexual system_value	Sexual system	Reproductive quality	characteristic		GSSO:011874	10.1038/sdata.2014.15		A sexual system in which males and hermaphrodites coexist in a population.	individual;population;species	Additional context: can be present in animals and plants. When in plants, refer to individuals, and that includes either individual hermaphroditic plants with separate male and female flowers as well as individual hermaphroditic plants with hermaphroditic (bisexual) flowers. 							https://github.com/Tree-of-Sex/ToS-Ontology/issues/92;https://github.com/Tree-of-Sex/ToS-Ontology/issues/41;https://github.com/Tree-of-Sex/ToS-Ontology/issues/33	Kamil Jaron;Caitlin McDonough-Goldstein;Andrew Mongue;Nicole Valenzuela	https://orcid.org/0000-0001-8949-7479;https://orcid.org/0000-0002-8487-9248;https://orcid.org/0000-0003-1148-631X	existing-ontology-definition, ToS_new_definition, needs-conflict-solving	We need to decide if this would be a reuse and ask changes in the reused ontology - comments field or just create as own and modify comments. add Facultative hermaphroditism as parent when multiple values are allowed. See also discussion on if this is or not taxon-restrivted. 			
TOSO:0000020	Gynomonoecy	gynomonoecy	Sexual system_value	Sexual system	Reproductive quality	characteristic			10.1038/sdata.2014.15		A sexual system in which female and hermaphrodite flowers are present within a plant.	individual;population;species;taxon-specific	A similar definition present in GSSO:011869 was considered not worded as wanted by the ToS consortium. A sexual system in which the presence of both female and hermaphrodite flowers on the same individual of a plant species. See discussion in https://github.com/Tree-of-Sex/ToS-Ontology/issues/37: Gynomonoecy (individual) is a hermaphrodite (individual) with both female (part) flowers and hermpahrodite (part) flowers on the same plant  Gynomonoecy (sexual system) is sexual system in which there are only gynomonoecy (individual) plants in a population							https://github.com/Tree-of-Sex/ToS-Ontology/issues/37;https://github.com/Tree-of-Sex/ToS-Ontology/issues/41;https://github.com/Tree-of-Sex/ToS-Ontology/issues/37	Sonia Garcia;Chiara Benvenuto;Kamil Jaron;Nicole Valenzuela;Caitlin McDonough-Goldstein	https://orcid.org/0000-0003-1470-5450;https://orcid.org/0000-0002-8378-8168;https://orcid.org/0000-0003-1470-5450;https://orcid.org/0000-0003-1148-631X;https://orcid.org/0000-0001-8949-7479	ToS_new_definition	add Facultative hermaphroditism as parent when multiple values are allowed			
TOSO:0000021	Andromonoecy	andromonoecy	Sexual system_value	Sexual system	Reproductive quality	characteristic			10.1038/sdata.2014.15		A sexual system in which in which male and hermaphrodite flowers are present within a plant.	individual;population;species;taxon-specific	A similar definition present in GSSO:011870: A rare sexual system in angiosperms, in which a plant has both male and hermaphroditic flowers 							https://github.com/Tree-of-Sex/ToS-Ontology/issues/37;https://github.com/Tree-of-Sex/ToS-Ontology/issues/41;https://github.com/Tree-of-Sex/ToS-Ontology/issues/39	Sonia Garcia;Chiara Benvenuto;Kamil Jaron;Nicole Valenzuela;Caitlin McDonough-Goldstein	https://orcid.org/0000-0003-1470-5450;https://orcid.org/0000-0002-8378-8168;https://orcid.org/0000-0003-1470-5450;https://orcid.org/0000-0003-1148-631X;https://orcid.org/0000-0001-8949-7479	ToS_new_definition				
TOSO:0000022	Polygamodioecy	polygamodioecy	Sexual system_value	Sexual system	Reproductive quality	characteristic			10.1038/sdata.2014.15		A sexual system in which male, female, and hermaphrodite plants present in a population.	individual;population;species;taxon-specific	Alternative definition by OOT: A sexual system in which some individuals of a species have both bisexual (both sex roles) flowers and male-only flowers on, and other individuals have both bisexual and female-only flowers.							https://github.com/Tree-of-Sex/ToS-Ontology/issues/62;https://github.com/Tree-of-Sex/ToS-Ontology/issues/37;https://github.com/Tree-of-Sex/ToS-Ontology/issues/41	Daniel Jeffries;Kamil Jaron;Nicole Valenzuela	https://orcid.org/0000-0003-1701-3978;https://orcid.org/0000-0003-1470-5450;https://orcid.org/0000-0003-1148-631X	ToS_new_definition				
TOSO:0000023	Polygamomonoecy	polygamomonoecy	Sexual system_value	Sexual system	Reproductive quality	characteristic		GSSO:011864	10.1038/sdata.2014.15		A sexual system in which male, female, and hermaphrodite flowers are present within a plant.	individual;taxon-specific			trimonoecy					https://github.com/Tree-of-Sex/ToS-Ontology/issues/37;https://github.com/Tree-of-Sex/ToS-Ontology/issues/41	Daniel Jeffries;Kamil Jaron;Nicole Valenzuela	https://orcid.org/0000-0003-1701-3978;https://orcid.org/0000-0003-1470-5450;https://orcid.org/0000-0003-1148-631X	existing-ontology-definition	in GSSO ontology, parent term is "monomorphic sexual system", which implies that trimonecious individuals are only in populations where ALL individuals have the same mating system. I feel that this is an unnecessary qualification, and so suggest we skip this parent term and use the one above in the GSSO ontology (Sexual system)			
TOSO:0000024	Asexual system			Reproductive quality	Reproductive quality																Kamil Jaron	https://orcid.org/0000-0003-1470-5450;					
TOSO:0000025	Apomixis	apomictic	Sexual system_value	Asexual system	Reproductive quality	characteristic		OMIT:0027849								asexual				https://github.com/Tree-of-Sex/ToS-Ontology/issues/37;https://github.com/Tree-of-Sex/ToS-Ontology/issues/41				We should call it "apomixis (sensu plantae)"	Kamil Jaron	use-synonym	
TOSO:0000026	Parthenogenesis	parthenogenetic	Sexual system_value	Asexual system	Reproductive quality	characteristic		OMIT:0011307												https://github.com/Tree-of-Sex/ToS-Ontology/issues/41				Ok, here is a question - can we add crosslinks between two imported terms? apomixis should be synonim of parthenogenesis (I guess). ANd they should be also equipped with "obligate quantifier". E.g. we can reuse the terms, but it would be nice to build more on them	Kamil Jaron	use-synonym	
